,Date,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Dealer_Region
5811,2022-09-17,Male,1331000.0,Pars Auto Sales,Mercedes-B,SLK230,DoubleÂ Overhead Camshaft,Auto,Black,33100,38701-8047,Hatchback,Greenville
5812,2022-09-17,Male,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Jeep,Grand Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,99301-3882,SUV,Pasco
5813,2022-09-17,Male,1007000.0,Progressive Shippers Cooperative Association No,Chevrolet,Prizm,Overhead Camshaft,Manual,Black,44700,53546-9427,Hatchback,Janesville
5814,2022-09-17,Male,981000.0,Rabun Used Car Sales,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,85257-3102,Sedan,Scottsdale
5815,2022-09-17,Male,570000.0,Race Car Help,Ford,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,Sedan,Austin
5816,2022-09-17,Male,13500.0,Ryder Truck Rental and Leasing,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,06457-3834,Hatchback,Middletown
5817,2022-09-17,Male,500000.0,Saab-Belle Dodge,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,60504-7114,Hatchback,Aurora
5818,2022-09-17,Male,830000.0,Scrivener Performance Engineering,Mercury,Mystique,DoubleÂ Overhead Camshaft,Auto,Black,9000,38701-8047,Passenger,Greenville
5819,2022-09-17,Male,1750000.0,Nebo Chevrolet,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,19000,06457-3834,Sedan,Middletown
5820,2022-09-17,Male,1850000.0,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,Aurora
5821,2022-09-17,Female,620000.0,Pars Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,22000,38701-8047,Passenger,Greenville
5822,2022-09-17,Male,670000.0,Pitre Buick-Pontiac-Gmc of Scottsdale,BMW,528i,Overhead Camshaft,Manual,Pale White,14000,99301-3882,SUV,Pasco
5823,2022-09-17,Male,1850000.0,Progressive Shippers Cooperative Association No,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,41000,53546-9427,SUV,Janesville
5824,2022-09-17,Male,13500.0,Tri-State Mack Inc,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Black,23000,85257-3102,Hardtop,Scottsdale
5825,2022-09-17,Female,13500.0,Ryder Truck Rental and Leasing,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,06457-3834,Hardtop,Middletown
5826,2022-09-17,Female,1420000.0,Ryder Truck Rental and Leasing,Volvo,S40,Overhead Camshaft,Manual,Pale White,22000,06457-3834,Sedan,Middletown
5827,2022-09-17,Male,1610000.0,Saab-Belle Dodge,Dodge,Durango,Overhead Camshaft,Manual,Pale White,31000,60504-7114,SUV,Aurora
5828,2022-09-17,Male,1730000.0,C & M Motors Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,26000,60504-7114,Hardtop,Aurora
5829,2022-09-17,Male,1500000.0,Star Enterprises Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Hatchback,Pasco
5830,2022-09-17,Male,860000.0,Suburban Ford,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,69000,53546-9427,SUV,Janesville
5831,2022-09-17,Male,775000.0,Tri-State Mack Inc,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,85257-3102,SUV,Scottsdale
5832,2022-09-17,Male,755000.0,U-Haul CO,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,78758-7841,Sedan,Austin
5833,2022-09-17,Male,13500.0,Progressive Shippers Cooperative Association No,Lexus,LX470,Overhead Camshaft,Manual,Pale White,54000,53546-9427,SUV,Janesville
5834,2022-09-17,Male,1020000.0,Rabun Used Car Sales,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,85257-3102,SUV,Scottsdale
5835,2022-09-17,Male,874000.0,Race Car Help,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,82000,78758-7841,Passenger,Austin
5836,2022-09-17,Male,13500.0,Ryder Truck Rental and Leasing,Ford,Escort,Overhead Camshaft,Manual,Black,11000,06457-3834,Passenger,Middletown
5837,2022-09-17,Female,869000.0,Diehl Motor CO Inc,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,25000,06457-3834,Hardtop,Middletown
5838,2022-09-17,Male,560000.0,Scrivener Performance Engineering,Oldsmobile,Bravada,Overhead Camshaft,Manual,Black,36000,38701-8047,Hatchback,Greenville
5839,2022-09-17,Male,678000.0,Race Car Help,Chevrolet,Prizm,Overhead Camshaft,Manual,Black,44000,78758-7841,Hardtop,Austin
5840,2022-09-17,Male,1500000.0,Suburban Ford,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,53546-9427,Sedan,Janesville
5841,2022-09-17,Male,1190000.0,Scrivener Performance Engineering,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,38701-8047,Hardtop,Greenville
5842,2022-09-17,Male,667000.0,Capitol KIA,Mercedes-B,CL500,Overhead Camshaft,Manual,Black,22000,38701-8047,SUV,Scottsdale
5843,2022-09-17,Male,1018000.0,Chrysler of Tri-Cities,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42800,99301-3882,Passenger,Austin
5844,2022-09-17,Male,650000.0,Tri-State Mack Inc,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,85257-3102,Hardtop,Greenville
5845,2022-09-17,Female,13500.0,Classic Chevy,Oldsmobile,Cutlass,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Sedan,Aurora
5846,2022-09-17,Male,1100000.0,Clay Johnson Auto Sales,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,Hatchback,Greenville
5847,2022-09-17,Female,13500.0,Diehl Motor CO Inc,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,06457-3834,Sedan,Pasco
5848,2022-09-17,Male,1394000.0,Enterprise Rent A Car,Hyundai,Accent,Overhead Camshaft,Manual,Black,18400,60504-7114,Hatchback,Janesville
5849,2022-09-17,Female,790000.0,Chrysler Plymouth,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,53546-9427,Hardtop,Scottsdale
5850,2022-09-17,Male,13500.0,Hatfield Volkswagen,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Black,9000,99301-3882,SUV,Austin
5851,2022-09-17,Male,1600000.0,Iceberg Rentals,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,22000,53546-9427,Sedan,Middletown
5852,2022-09-17,Male,620000.0,McKinney Dodge Chrysler Jeep,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,Aurora
5853,2022-09-17,Male,1270000.0,Motor Vehicle Branch Office,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,12000,78758-7841,Hatchback,Greenville
5854,2022-09-17,Male,2725000.0,Classic Chevy,Ford,Focus,Overhead Camshaft,Manual,Black,49500,85257-3102,Hardtop,Austin
5855,2022-09-17,Male,240000.0,New Castle Ford Lincoln Mercury,Toyota,Sienna,Overhead Camshaft,Manual,Black,27000,60504-7114,Passenger,Janesville
5856,2022-09-17,Male,855000.0,Pars Auto Sales,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,16000,38701-8047,Hatchback,Scottsdale
5857,2022-09-17,Male,13500.0,Diehl Motor CO Inc,Toyota,Tacoma,DoubleÂ Overhead Camshaft,Auto,Pale White,53000,06457-3834,Hardtop,Aurora
5858,2022-09-17,Male,910000.0,Progressive Shippers Cooperative Association No,Cadillac,Eldorado,Overhead Camshaft,Manual,Pale White,37000,53546-9427,Passenger,Middletown
5859,2022-09-17,Male,1177000.0,Rabun Used Car Sales,Mercedes-B,SLK,DoubleÂ Overhead Camshaft,Auto,Pale White,46700,85257-3102,Passenger,Aurora
5860,2022-09-17,Male,1131000.0,Race Car Help,Jeep,Wrangler,Overhead Camshaft,Manual,Pale White,23100,78758-7841,Hatchback,Greenville
5861,2022-09-17,Male,13500.0,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Black,22000,06457-3834,Hatchback,Pasco
5862,2022-09-17,Male,13500.0,Saab-Belle Dodge,Honda,Accord,Overhead Camshaft,Manual,Black,43000,60504-7114,Sedan,Janesville
5863,2022-09-17,Male,540000.0,Scrivener Performance Engineering,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Black,21000,38701-8047,Hatchback,Scottsdale
5864,2022-09-17,Male,960000.0,Saab-Belle Dodge,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Black,42000,60504-7114,Hardtop,Greenville
5865,2022-09-18,Male,1238000.0,Classic Chevy,Dodge,Durango,Overhead Camshaft,Manual,Pale White,31801,85257-3102,SUV,Scottsdale
5866,2022-09-18,Male,1320000.0,Clay Johnson Auto Sales,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12001,78758-7841,Hatchback,Austin
5867,2022-09-18,Male,13500.0,Diehl Motor CO Inc,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,25001,06457-3834,SUV,Middletown
5868,2022-09-18,Male,13500.0,Enterprise Rent A Car,Cadillac,Seville,Overhead Camshaft,Manual,Pale White,22001,60504-7114,Hatchback,Aurora
5869,2022-09-18,Male,560000.0,Gartner Buick Hyundai Saab,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,38701-8047,Hatchback,Greenville
5870,2022-09-18,Male,1651000.0,Hatfield Volkswagen,Saturn,SC,Overhead Camshaft,Manual,Pale White,61101,99301-3882,Hatchback,Pasco
5871,2022-09-18,Male,1920000.0,Iceberg Rentals,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,53001,53546-9427,Hatchback,Janesville
5872,2022-09-18,Male,1560000.0,McKinney Dodge Chrysler Jeep,Volkswagen,Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,17001,85257-3102,Sedan,Scottsdale
5873,2022-09-18,Male,1550000.0,Motor Vehicle Branch Office,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,16000,78758-7841,Hatchback,Austin
5874,2022-09-18,Male,13500.0,Nebo Chevrolet,Lincoln,Town car,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,06457-3834,Hatchback,Middletown
5875,2022-09-18,Female,1330000.0,New Castle Ford Lincoln Mercury,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,60504-7114,Hatchback,Aurora
5876,2022-09-18,Male,1038000.0,Pars Auto Sales,Pontiac,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,19800,38701-8047,Passenger,Greenville
5877,2022-09-18,Female,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Pontiac,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,Pasco
5878,2022-09-18,Female,13500.0,Progressive Shippers Cooperative Association No,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,53546-9427,Hatchback,Janesville
5879,2022-09-18,Male,862000.0,Ryder Truck Rental and Leasing,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,06457-3834,Passenger,Middletown
5880,2022-09-18,Male,13500.0,Saab-Belle Dodge,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,27000,60504-7114,SUV,Aurora
5881,2022-09-18,Male,595000.0,Scrivener Performance Engineering,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,38701-8047,Sedan,Greenville
5882,2022-09-18,Male,742000.0,Race Car Help,Volkswagen,Beetle,Overhead Camshaft,Manual,Pale White,21000,78758-7841,Hardtop,Austin
5883,2022-09-18,Male,709500.0,Suburban Ford,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,53546-9427,Sedan,Janesville
5884,2022-09-18,Male,13500.0,Tri-State Mack Inc,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Passenger,Scottsdale
5885,2022-09-18,Male,13500.0,U-Haul CO,BMW,528i,Overhead Camshaft,Manual,Pale White,16000,78758-7841,SUV,Austin
5886,2022-09-18,Male,13500.0,Progressive Shippers Cooperative Association No,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Hatchback,Janesville
5887,2022-09-18,Male,550000.0,Rabun Used Car Sales,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,71000,85257-3102,Hatchback,Scottsdale
5888,2022-09-18,Male,670000.0,Race Car Help,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,78758-7841,Hatchback,Austin
5889,2022-09-18,Male,3560000.0,Ryder Truck Rental and Leasing,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,SUV,Middletown
5890,2022-09-18,Male,13500.0,Saab-Belle Dodge,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,60504-7114,Passenger,Aurora
5891,2022-09-18,Female,1155000.0,Scrivener Performance Engineering,Pontiac,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,26500,38701-8047,SUV,Greenville
5892,2022-09-18,Male,1975000.0,C & M Motors Inc,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,22500,60504-7114,Hardtop,Aurora
5893,2022-09-18,Male,1194500.0,Star Enterprises Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,41450,99301-3882,Hatchback,Pasco
5894,2022-09-18,Male,425000.0,Suburban Ford,Subaru,Forester,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Hatchback,Janesville
5895,2022-09-18,Male,645000.0,Tri-State Mack Inc,Volkswagen,Golf,Overhead Camshaft,Manual,Pale White,25000,85257-3102,Hatchback,Scottsdale
5896,2022-09-18,Male,13500.0,U-Haul CO,Lexus,LS400,Overhead Camshaft,Manual,Black,69000,78758-7841,Sedan,Austin
5897,2022-09-18,Female,13500.0,Progressive Shippers Cooperative Association No,Volvo,C70,Overhead Camshaft,Manual,Pale White,82000,53546-9427,Hatchback,Janesville
5898,2022-09-18,Female,845000.0,Rabun Used Car Sales,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,85257-3102,Hatchback,Scottsdale
5899,2022-09-18,Female,751000.0,Progressive Shippers Cooperative Association No,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,24000,53546-9427,Hatchback,Janesville
5900,2022-09-18,Male,895000.0,Rabun Used Car Sales,Cadillac,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,85257-3102,Hatchback,Scottsdale
5901,2022-09-18,Male,655000.0,Race Car Help,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,78758-7841,Sedan,Austin
5902,2022-09-18,Male,631000.0,Ryder Truck Rental and Leasing,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,06457-3834,Hatchback,Middletown
5903,2022-09-18,Male,600000.0,Saab-Belle Dodge,Mercury,Grand Marquis,Overhead Camshaft,Manual,Black,49000,60504-7114,SUV,Aurora
5904,2022-09-18,Male,820000.0,Scrivener Performance Engineering,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,18000,38701-8047,Hatchback,Greenville
5905,2022-09-18,Male,715000.0,Star Enterprises Inc,Audi,A6,Overhead Camshaft,Manual,Black,85000,99301-3882,SUV,Pasco
5906,2022-09-18,Female,13500.0,Suburban Ford,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12000,53546-9427,Sedan,Janesville
5907,2022-09-18,Male,1100000.0,U-Haul CO,Volkswagen,GTI,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,78758-7841,SUV,Austin
5908,2022-09-18,Male,450000.0,Buddy Storbeck's Diesel Service Inc,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,06457-3834,Sedan,Middletown
5909,2022-09-18,Male,560000.0,C & M Motors Inc,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,16000,60504-7114,Hatchback,Aurora
5910,2022-09-18,Male,1120000.0,Capitol KIA,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,38701-8047,SUV,Greenville
5911,2022-09-18,Male,2450000.0,Star Enterprises Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,Hardtop,Pasco
5912,2022-09-18,Male,1260000.0,Chrysler Plymouth,Volvo,S40,Overhead Camshaft,Manual,Black,36000,53546-9427,Sedan,Janesville
5913,2022-09-18,Male,1790000.0,Classic Chevy,Ford,F-Series,Overhead Camshaft,Manual,Pale White,13000,85257-3102,Passenger,Scottsdale
5914,2022-09-18,Male,390500.0,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28500,78758-7841,Hatchback,Austin
5915,2022-09-18,Male,13500.0,U-Haul CO,Subaru,Forester,Overhead Camshaft,Manual,Pale White,26000,78758-7841,Hardtop,Austin
5916,2022-09-18,Male,13500.0,Progressive Shippers Cooperative Association No,Volkswagen,Golf,Overhead Camshaft,Manual,Pale White,25000,53546-9427,Hardtop,Janesville
5917,2022-09-18,Male,563250.0,Saab-Belle Dodge,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,24250,60504-7114,Hardtop,Aurora
5918,2022-09-18,Male,999000.0,Hatfield Volkswagen,Lincoln,Town car,Overhead Camshaft,Manual,Pale White,33000,99301-3882,Hatchback,Pasco
5919,2022-09-18,Male,850000.0,Classic Chevy,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Hardtop,Scottsdale
5920,2022-09-18,Male,13500.0,McKinney Dodge Chrysler Jeep,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57000,85257-3102,SUV,Scottsdale
5921,2022-09-18,Female,780000.0,Suburban Ford,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,17000,53546-9427,Hatchback,Middletown
5922,2022-09-18,Female,705000.0,Star Enterprises Inc,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Hardtop,Janesville
5923,2022-09-18,Male,1000500.0,Suburban Ford,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21050,53546-9427,Hardtop,Scottsdale
5924,2022-09-18,Male,660000.0,Progressive Shippers Cooperative Association No,Toyota,Camry,Overhead Camshaft,Manual,Black,34000,53546-9427,Hatchback,Pasco
5925,2022-09-18,Female,1880000.0,Rabun Used Car Sales,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,85257-3102,Sedan,Janesville
5926,2022-09-18,Male,13500.0,Race Car Help,Cadillac,Eldorado,Overhead Camshaft,Manual,Black,29000,78758-7841,Passenger,Scottsdale
5927,2022-09-18,Male,13500.0,Ryder Truck Rental and Leasing,Jeep,Grand Cherokee,Overhead Camshaft,Manual,Pale White,21000,06457-3834,SUV,Austin
5928,2022-09-18,Male,2305000.0,Saab-Belle Dodge,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26500,60504-7114,SUV,Janesville
5929,2022-09-18,Male,885000.0,Ryder Truck Rental and Leasing,Cadillac,Seville,Overhead Camshaft,Manual,Black,44000,06457-3834,Hardtop,Janesville
5930,2022-09-18,Female,760000.0,Star Enterprises Inc,Ford,F-Series,Overhead Camshaft,Manual,Pale White,14000,99301-3882,Passenger,Austin
5931,2022-09-18,Male,13500.0,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20000,53546-9427,SUV,Middletown
5932,2022-09-18,Male,13500.0,Tri-State Mack Inc,Nissan,Frontier,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,85257-3102,Hatchback,Aurora
5933,2022-09-18,Female,505000.0,U-Haul CO,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,78758-7841,Hardtop,Pasco
5934,2022-09-18,Male,3056000.0,Buddy Storbeck's Diesel Service Inc,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,10600,06457-3834,SUV,Pasco
5935,2022-09-19,Male,13500.0,Rabun Used Car Sales,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,22000,85257-3102,Hatchback,Austin
5936,2022-09-19,Male,1660000.0,Race Car Help,Lincoln,Town car,Overhead Camshaft,Manual,Pale White,33000,78758-7841,Hatchback,Austin
5937,2022-09-19,Female,13500.0,Ryder Truck Rental and Leasing,Buick,Park Avenue,Overhead Camshaft,Manual,Black,29000,06457-3834,Hatchback,Middletown
5938,2022-09-19,Male,1260000.0,Saab-Belle Dodge,Plymouth,Voyager,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,60504-7114,Passenger,Aurora
5939,2022-09-19,Male,13500.0,Scrivener Performance Engineering,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,38701-8047,Hatchback,Greenville
5940,2022-09-19,Male,2000000.0,Star Enterprises Inc,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Black,31000,99301-3882,Passenger,Pasco
5941,2022-09-19,Male,1030000.0,Suburban Ford,Nissan,Xterra,DoubleÂ Overhead Camshaft,Auto,Black,26000,53546-9427,Passenger,Janesville
5942,2022-09-19,Female,985000.0,Tri-State Mack Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,23000,85257-3102,Hatchback,Scottsdale
5943,2022-09-19,Male,13500.0,U-Haul CO,Lexus,LS400,Overhead Camshaft,Manual,Pale White,13000,78758-7841,Sedan,Austin
5944,2022-09-19,Male,13500.0,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,06457-3834,Sedan,Middletown
5945,2022-09-19,Male,1650000.0,Progressive Shippers Cooperative Association No,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,53546-9427,Hardtop,Janesville
5946,2022-09-19,Male,13500.0,Capitol KIA,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,38701-8047,Passenger,Greenville
5947,2022-09-19,Male,735000.0,Tri-State Mack Inc,Lexus,LX470,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,85257-3102,SUV,Scottsdale
5948,2022-09-19,Female,1180000.0,U-Haul CO,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,Black,39000,78758-7841,SUV,Austin
5949,2022-09-19,Male,864000.0,Buddy Storbeck's Diesel Service Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,06457-3834,Sedan,Middletown
5950,2022-09-19,Female,420000.0,C & M Motors Inc,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21000,60504-7114,Hatchback,Aurora
5951,2022-09-19,Male,700000.0,Capitol KIA,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,38701-8047,SUV,Greenville
5952,2022-09-19,Female,725000.0,Chrysler of Tri-Cities,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22000,99301-3882,Passenger,Pasco
5953,2022-09-19,Male,750000.0,Motor Vehicle Branch Office,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,78758-7841,Sedan,Austin
5954,2022-09-19,Male,1830000.0,Nebo Chevrolet,Mercury,Mystique,DoubleÂ Overhead Camshaft,Auto,Black,9000,06457-3834,Passenger,Middletown
5955,2022-09-19,Male,13500.0,New Castle Ford Lincoln Mercury,Acura,RL,Overhead Camshaft,Manual,Pale White,34000,60504-7114,SUV,Aurora
5956,2022-09-19,Male,920000.0,Pars Auto Sales,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,38701-8047,Hatchback,Greenville
5957,2022-09-19,Male,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,22000,99301-3882,Sedan,Pasco
5958,2022-09-19,Male,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Porsche,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,99301-3882,Hardtop,Pasco
5959,2022-09-19,Male,925000.0,C & M Motors Inc,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,60504-7114,Hardtop,Scottsdale
5960,2022-09-19,Male,1900000.0,Capitol KIA,Volkswagen,Jetta,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Passenger,Scottsdale
5961,2022-09-19,Male,13500.0,Chrysler of Tri-Cities,Oldsmobile,Intrigue,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,Austin
5962,2022-09-19,Male,13500.0,Chrysler Plymouth,Jeep,Wrangler,Overhead Camshaft,Manual,Pale White,13000,53546-9427,Hatchback,Middletown
5963,2022-09-19,Male,2650000.0,Classic Chevy,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,85257-3102,Passenger,Aurora
5964,2022-09-19,Female,895000.0,Clay Johnson Auto Sales,Honda,Civic,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,78758-7841,Hatchback,Greenville
5965,2022-09-20,Male,2155000.0,Suburban Ford,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,19500,53546-9427,SUV,Janesville
5966,2022-09-20,Male,1225000.0,Tri-State Mack Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,25500,85257-3102,Hatchback,Scottsdale
5967,2022-09-20,Male,2150000.0,U-Haul CO,Lexus,GS300,Overhead Camshaft,Manual,Black,51000,78758-7841,Passenger,Austin
5968,2022-09-20,Male,1770000.0,Progressive Shippers Cooperative Association No,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Hatchback,Janesville
5969,2022-09-20,Female,2040000.0,Rabun Used Car Sales,Acura,TL,Overhead Camshaft,Manual,Black,21000,85257-3102,Hatchback,Scottsdale
5970,2022-09-20,Male,691500.0,Race Car Help,Pontiac,Firebird,Overhead Camshaft,Manual,Black,43500,78758-7841,Hatchback,Austin
5971,2022-09-20,Male,13500.0,Ryder Truck Rental and Leasing,Audi,A6,Overhead Camshaft,Manual,Black,15000,06457-3834,SUV,Middletown
5972,2022-09-20,Female,13500.0,Saab-Belle Dodge,Chrysler,Town & Country,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Sedan,Aurora
5973,2022-09-20,Male,1130000.0,Chrysler of Tri-Cities,Toyota,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,99301-3882,SUV,Pasco
5974,2022-09-20,Male,13500.0,Chrysler Plymouth,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,69000,53546-9427,Passenger,Janesville
5975,2022-09-20,Male,820000.0,Classic Chevy,Toyota,Camry,Overhead Camshaft,Manual,Black,34000,85257-3102,Hatchback,Scottsdale
5976,2022-09-20,Male,680000.0,Clay Johnson Auto Sales,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,78758-7841,Hatchback,Austin
5977,2022-09-20,Male,720000.0,Diehl Motor CO Inc,Volkswagen,Jetta,Overhead Camshaft,Manual,Pale White,45000,06457-3834,Passenger,Middletown
5978,2022-09-20,Male,1107500.0,Enterprise Rent A Car,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Black,31750,60504-7114,SUV,Aurora
